participant,group,mintsp,language,do,animacy,gram,item,response,education,spday,roday,residence
01b,b,62,sp,DP,An,g,spDPAn1g,5,4,70,20,9
01b,b,62,sp,DP,An,g,spDPAn2g,2,4,70,20,9
01b,b,62,sp,DP,An,u,spDPAn3u,2,4,70,20,9
01b,b,62,sp,DP,An,u,spDPAn4u,5,4,70,20,9
01b,b,62,sp,DP,An,u,spDPAn5u,2,4,70,20,9
01b,b,62,sp,DP,Inan,g,spDPInan1g,4,4,70,20,9
01b,b,62,sp,DP,Inan,g,spDPInan2g,5,4,70,20,9
01b,b,62,sp,DP,Inan,u,spDPInan3u,3,4,70,20,9
01b,b,62,sp,DP,Inan,u,spDPInan4u,2,4,70,20,9
01b,b,62,sp,DP,Inan,u,spDPInan5u,2,4,70,20,9
01b,b,62,sp,Pron,An,g,spPronAn1g,5,4,70,20,9
01b,b,62,sp,Pron,An,g,spPronAn2g,5,4,70,20,9
01b,b,62,sp,Pron,An,g,spPronAn3g,4,4,70,20,9
01b,b,62,sp,Pron,An,u,spPronAn4u,2,4,70,20,9
01b,b,62,sp,Pron,An,u,spPronAn5u,2,4,70,20,9
01b,b,62,sp,Pron,Inan,g,spPronInan1g,5,4,70,20,9
01b,b,62,sp,Pron,Inan,g,spPronInan2g,5,4,70,20,9
01b,b,62,sp,Pron,Inan,g,spPronInan3g,5,4,70,20,9
01b,b,62,sp,Pron,Inan,u,spPronInan4u,5,4,70,20,9
01b,b,62,sp,Pron,Inan,u,spPronInan5u,2,4,70,20,9
01b,b,62,sp,AGC,Inan,g,spAGCInan1g,4,4,70,20,9
01b,b,62,sp,AGC,Inan,g,spAGCInan2g,5,4,70,20,9
01b,b,62,sp,AGC,Inan,u,spAGCInan3u,5,4,70,20,9
01b,b,62,sp,AGC,Inan,u,spAGCInan4u,5,4,70,20,9
01b,b,62,sp,AGC,Inan,u,spAGCInan5u,5,4,70,20,9
02b,b,53,sp,DP,An,g,spDPAn1g,5,4,60,30,7
